epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1194.76,1.07083,1.07595,1.31269,0.68348,0.49374,0.52752,0.32648,1.32164,1.35203,1.49054,0.00066835,0.00066835,0.00066835
69,1211.37,1.04647,1.06274,1.28839,0.63933,0.47228,0.50217,0.30666,1.32728,1.37846,1.48899,0.0006634,0.0006634,0.0006634
70,1227.37,1.06075,1.06134,1.28976,0.61968,0.51171,0.53091,0.30473,1.35061,1.30835,1.49214,0.00065845,0.00065845,0.00065845
71,1243.29,1.06534,1.0668,1.28471,0.57389,0.50837,0.53264,0.31179,1.32218,1.29737,1.50845,0.0006535,0.0006535,0.0006535
72,1259.27,1.06706,1.02569,1.31222,0.68504,0.41,0.48341,0.29289,1.26987,1.37057,1.46714,0.00064855,0.00064855,0.00064855
73,1275.54,1.05339,1.08041,1.31174,0.71976,0.4897,0.54533,0.32637,1.32045,1.30186,1.4898,0.0006436,0.0006436,0.0006436
74,1291.76,1.04048,1.03267,1.27274,0.6641,0.53221,0.55337,0.32244,1.33713,1.25863,1.5151,0.00063865,0.00063865,0.00063865
75,1308.06,1.08151,1.0784,1.30237,0.65652,0.48787,0.557,0.32631,1.33814,1.27006,1.51848,0.0006337,0.0006337,0.0006337
76,1325.47,1.01242,0.99472,1.25555,0.66341,0.52824,0.53602,0.31581,1.29331,1.29692,1.4864,0.00062875,0.00062875,0.00062875
77,1344.32,1.01611,1.02564,1.25888,0.64285,0.44239,0.47221,0.28079,1.3401,1.45709,1.55203,0.0006238,0.0006238,0.0006238
78,1361.77,1.0144,1.03792,1.28768,0.69368,0.53351,0.53349,0.32501,1.31318,1.24838,1.48419,0.00061885,0.00061885,0.00061885
79,1378.59,1.02076,1.03014,1.28253,0.6203,0.49829,0.52918,0.32824,1.27563,1.26012,1.44415,0.0006139,0.0006139,0.0006139
80,1394.78,1.01964,1.02702,1.25758,0.64061,0.50696,0.54512,0.33215,1.26574,1.23287,1.44315,0.00060895,0.00060895,0.00060895
81,1410.95,1.01097,0.97818,1.25651,0.77864,0.4587,0.55572,0.33724,1.32415,1.29506,1.49702,0.000604,0.000604,0.000604
82,1427.2,0.9959,0.99387,1.25547,0.55498,0.49011,0.48934,0.29596,1.34849,1.39269,1.51477,0.00059905,0.00059905,0.00059905
83,1443.8,0.96831,0.94095,1.25532,0.68566,0.4698,0.53796,0.32817,1.28975,1.22839,1.4746,0.0005941,0.0005941,0.0005941
84,1462.23,1.01021,0.96594,1.23429,0.73618,0.4888,0.5575,0.33903,1.26691,1.23331,1.47057,0.00058915,0.00058915,0.00058915
85,1481.44,1.01881,0.99146,1.25616,0.62406,0.48304,0.49211,0.29843,1.30773,1.34481,1.47025,0.0005842,0.0005842,0.0005842
86,1499.35,1.03164,0.98037,1.25609,0.6223,0.52281,0.5402,0.32222,1.34094,1.28413,1.5308,0.00057925,0.00057925,0.00057925
87,1518.02,1.02586,0.98537,1.26403,0.63902,0.51851,0.54257,0.34648,1.27606,1.25563,1.48265,0.0005743,0.0005743,0.0005743
88,1537.8,0.99779,0.98472,1.25326,0.63752,0.53971,0.53192,0.33042,1.31254,1.2585,1.49332,0.00056935,0.00056935,0.00056935
89,1557.85,0.97476,0.95069,1.23553,0.57179,0.49561,0.49509,0.2967,1.38512,1.29943,1.57075,0.0005644,0.0005644,0.0005644
90,1575.12,0.99944,0.9507,1.26283,0.69197,0.52533,0.56318,0.34857,1.26465,1.25255,1.45261,0.00055945,0.00055945,0.00055945
91,1592.47,1.01311,0.97612,1.27263,0.74206,0.50918,0.55615,0.35444,1.25028,1.15744,1.4386,0.0005545,0.0005545,0.0005545
92,1609.86,0.97222,0.94055,1.23306,0.6751,0.52616,0.56291,0.35216,1.26046,1.20377,1.43979,0.00054955,0.00054955,0.00054955
93,1626.84,0.97291,0.91775,1.20888,0.69905,0.49921,0.56685,0.34444,1.30131,1.26818,1.45936,0.0005446,0.0005446,0.0005446
94,1643.67,0.95967,0.89827,1.2168,0.65112,0.55352,0.57272,0.34696,1.25619,1.18121,1.4596,0.00053965,0.00053965,0.00053965
95,1660.79,0.93917,0.9436,1.22626,0.71639,0.47359,0.5498,0.34572,1.22985,1.22439,1.44044,0.0005347,0.0005347,0.0005347
96,1678.3,0.96552,0.93319,1.22634,0.62492,0.49921,0.52029,0.322,1.27917,1.25223,1.48067,0.00052975,0.00052975,0.00052975
97,1696.89,0.97087,0.92876,1.24374,0.76092,0.52508,0.584,0.38015,1.22468,1.22468,1.42216,0.0005248,0.0005248,0.0005248
98,1714.36,0.95403,0.90698,1.21416,0.65814,0.58106,0.60118,0.37952,1.21799,1.16236,1.40878,0.00051985,0.00051985,0.00051985
99,1731.73,0.98682,0.95016,1.23818,0.6722,0.56582,0.60084,0.36904,1.25135,1.23825,1.438,0.0005149,0.0005149,0.0005149
100,1748.84,0.93061,0.88316,1.20957,0.70507,0.4637,0.53242,0.32979,1.31368,1.30023,1.48654,0.00050995,0.00050995,0.00050995
101,1765.78,0.96983,0.89789,1.22207,0.68605,0.54368,0.5768,0.34618,1.28482,1.17407,1.46351,0.000505,0.000505,0.000505
102,1782.36,0.94999,0.91912,1.20639,0.66354,0.55427,0.57524,0.33165,1.30841,1.17849,1.46831,0.00050005,0.00050005,0.00050005
103,1798.76,0.96982,0.90898,1.23259,0.71829,0.50543,0.56227,0.34722,1.22422,1.19979,1.41567,0.0004951,0.0004951,0.0004951
104,1815.1,0.92045,0.85632,1.19332,0.67578,0.50362,0.54738,0.3481,1.19593,1.20107,1.40378,0.00049015,0.00049015,0.00049015
105,1832.81,0.9038,0.8678,1.20437,0.70003,0.46049,0.54027,0.34216,1.23397,1.24448,1.44311,0.0004852,0.0004852,0.0004852
106,1851.31,0.92929,0.90031,1.2133,0.69779,0.49185,0.55074,0.34652,1.27347,1.199,1.48179,0.00048025,0.00048025,0.00048025
107,1869.28,0.91558,0.85432,1.19953,0.72428,0.49605,0.56097,0.35481,1.2473,1.16264,1.46667,0.0004753,0.0004753,0.0004753
